aa	Afar	er	aa_ER	6209262
am	Amharic	et	am_ET	109224559
ar	Arabic	eg	ar_EG	98423595
az	Azerbaijani	az	az_AZ	10224900
be	Belarusian	by	be_BY	9485386
bg	Bulgarian	bg	bg_BG	7000039
bi	Bislama	vu	bi_VU	292680
bn	Bengali	bd	bn_BD	161356039
bs	Bosnian	ba	bs_BA	3323929
ca	Catalan	ad	ca_AD	77006
cs	Czech	cz	cs_CZ	10625695
da	Danish	dk	da_DK	5797446
de	German	de	de_DE	82927922
dv	Divehi	mv	dv_MV	515696
dz	Dzongkha	bt	dz_BT	754394
el	Greek	gr	el_GR	10727668
en	English	in	en_IN	1352617328
es	Spanish	mx	es_MX	126190788
et	Estonian	ee	et_EE	1320884
fa	Persian	ir	fa_IR	81800269
fi	Finnish	fi	fi_FI	5518050
fo	Faroese	fo	fo_FO	48497
fr	French	cd	fr_CD	84068091
he	Hebrew	il	he_IL	8883800
hr	Croatian	hr	hr_HR	3871833
ht	Haitian Creole	ht	ht_HT	11123176
hu	Hungarian	hu	hu_HU	9768785
hy	Armenian	am	hy_AM	3090500
id	Indonesian	id	id_ID	267663435
is	Icelandic	is	is_IS	353574
it	Italian	it	it_IT	60431283
ja	Japanese	jp	ja_JP	126529100
ka	Georgian	ge	ka_GE	3704500
kk	Kazakh	kz	kk_KZ	18276499
kl	Kalaallisut	gl	kl_GL	56025
km	Khmer	kh	km_KH	16249798
ko	Korean	kr	ko_KR	51635256
ky	Kyrgyz	kg	ky_KG	6315800
la	Latin	va	la_VA	921
lb	Luxembourgish	lu	lb_LU	607728
lo	Lao	la	lo_LA	7061507
lt	Lithuanian	lt	lt_LT	2789533
lv	Latvian	lv	lv_LV	1926542
mh	Marshallese	mh	mh_MH	58413
mk	Macedonian	mk	mk_MK	2082958
mn	Mongolian	mn	mn_MN	3170208
ms	Malay	my	ms_MY	31528585
mt	Maltese	mt	mt_MT	483530
my	Burmese	mm	my_MM	53708395
na	Nauruan	nr	na_NR	12704
ne	Nepali	np	ne_NP	28087871
nl	Dutch	nl	nl_NL	17231017
no	Norwegian	no	no_NO	5314336
ny	Chichewa	mw	ny_MW	17563749
pl	Polish	pl	pl_PL	37978548
pt	Portuguese	br	pt_BR	209469333
ro	Romanian	ro	ro_RO	19473936
ru	Russian	ru	ru_RU	144478050
rw	Kinyarwanda	rw	rw_RW	12301939
si	Sinhala	lk	si_LK	21670000
sk	Slovak	sk	sk_SK	5447011
sl	Slovenian	si	sl_SI	2067372
sm	Samoan	ws	sm_WS	196130
so	Somali	so	so_SO	15008154
sq	Albanian	al	sq_AL	2866376
sr	Serbian	rs	sr_RS	6982084
sv	Swedish	se	sv_SE	10183175
sw	Swahili	tz	sw_TZ	56318348
tg	Tajik	tj	tg_TJ	9100837
th	Thai	th	th_TH	69428524
tk	Turkmen	tm	tk_TM	5850908
tl	Tagalog	ph	tl_PH	106651922
to	Tongan	to	to_TO	103197
tr	Turkish	tr	tr_TR	82319724
uk	Ukrainian	ua	uk_UA	44622516
ur	Urdu	pk	ur_PK	212215030
uz	Uzbek	uz	uz_UZ	32955400
vi	Vietnamese	vn	vi_VN	95540395
zh	Chinese	cn	zh_CN	1411778724
zu	Zulu	za	zu_ZA	57779622
